Collection Date,Waterbody Name,Waterbody Type,Latitude,Longitude,Land Use Region,Species Code,Common Name,Sex,Fork Length (mm),Total Length (mm),Weight (g),Hg (mg/kg)
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,LKWH,Lake Whitefish,Male,509.0,560.0,1990.0,0.083
2013-09-19,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,LKWH,Lake Whitefish,Male,520.0,570.0,2000.0,0.072
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,455.0,484.0,510.0,0.456
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,498.0,528.0,800.0,0.497
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,574.0,605.0,950.0,0.651
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,523.0,561.0,800.0,0.846
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,530.0,571.0,725.0,0.792
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,521.0,559.0,865.0,0.265
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,635.0,675.0,1725.0,0.318
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Male,411.0,440.0,790.0,0.356
2010-09-17,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,496.0,540.0,800.0,0.556
2010-09-17,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,525.0,564.0,525.0,0.761
2010-09-17,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,485.0,520.0,625.0,0.465
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,489.0,516.0,764.0,0.444
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,515.0,550.0,767.0,0.699
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,560.0,595.0,1244.0,0.576
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,770.0,816.0,3637.0,0.795
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Male,447.0,479.0,588.0,0.486
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,438.0,469.0,636.0,0.307
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,472.0,505.0,616.0,0.585
2013-09-19,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,438.0,469.0,588.0,0.122
2013-09-19,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Male,481.0,516.0,754.0,0.135
2013-09-19,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,460.0,490.0,691.0,0.341
2013-09-19,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Male,500.0,536.0,880.0,0.255
2013-09-19,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Male,460.0,494.0,619.0,0.663
2013-09-19,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,482.0,515.0,790.0,0.364
2013-09-19,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,598.0,630.0,1413.0,0.92
2013-09-19,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Male,535.0,565.0,1056.0,0.552
2013-09-19,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,NRPK,Northern Pike,Female,485.0,518.0,625.0,0.591
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Female,466.0,498.0,820.0,1.167
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,360.0,381.0,425.0,0.487
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,492.0,525.0,980.0,1.174
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,419.0,445.0,700.0,0.957
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Female,284.0,303.0,233.0,0.285
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,378.0,402.0,520.0,0.493
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Female,342.0,365.0,390.0,0.433
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,437.0,465.0,820.0,1.363
2010-09-16,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,430.0,457.0,700.0,1.269
2010-09-17,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Female,460.0,490.0,1020.0,0.572
2010-09-17,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Female,524.0,553.0,1100.0,1.244
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,426.0,450.0,797.0,0.848
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Female,450.0,474.0,872.0,0.798
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,450.0,475.0,962.0,1.029
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,464.0,495.0,935.0,1.589
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,467.0,495.0,1020.0,0.795
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,445.0,465.0,878.0,1.093
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,449.0,476.0,987.0,1.298
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,387.0,410.0,553.0,0.49
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Female,502.0,525.0,1238.0,1.112
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,432.0,462.0,848.0,1.448
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Female,450.0,479.0,1006.0,0.684
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,435.0,459.0,752.0,1.117
2013-09-18,Amisk Lake,Lake,54.597508,-112.636283,Upper Athabasca,WALL,Walleye,Male,400.0,424.0,701.0,0.554
2018-07-10,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,602.0,639.0,1350.0,0.449
2018-07-10,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,631.0,669.0,1800.0,0.307
2018-07-10,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Male,593.0,631.0,1150.0,0.536
2018-07-10,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,648.0,690.0,1950.0,0.353
2018-07-10,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,658.0,694.0,1800.0,0.453
2018-07-10,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,614.0,653.0,1400.0,0.384
2018-07-10,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,608.0,647.0,1600.0,0.242
2018-07-10,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,596.0,636.0,1500.0,0.245
2018-07-11,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,608.0,649.0,1300.0,0.408
2018-07-11,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,592.0,632.0,1550.0,0.369
2018-07-11,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,654.0,696.0,1400.0,0.541
2018-07-11,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,608.0,649.0,1500.0,0.291
2018-07-11,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,594.0,634.0,1200.0,0.484
2018-07-11,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,603.0,640.0,1600.0,0.34
2018-07-11,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,614.0,656.0,1500.0,0.272
2018-07-11,Angling Lake,Lake,54.200853,-110.327966,Lower Athabasca,NRPK,Northern Pike,Female,591.0,633.0,1400.0,0.326
2014-10-01,Arm Lake,Lake,52.74685,-110.588624,North Saskatchewan,NRPK,Northern Pike,Female,505.0,537.0,889.0,0.426
2014-10-01,Arm Lake,Lake,52.74685,-110.588624,North Saskatchewan,NRPK,Northern Pike,Female,518.0,547.0,935.0,0.412
2014-10-01,Arm Lake,Lake,52.74685,-110.588624,North Saskatchewan,NRPK,Northern Pike,Male,475.0,507.0,623.0,0.456
2014-10-01,Arm Lake,Lake,52.74685,-110.588624,North Saskatchewan,NRPK,Northern Pike,Male,463.0,500.0,655.0,0.364
2014-10-01,Arm Lake,Lake,52.74685,-110.588624,North Saskatchewan,NRPK,Northern Pike,Male,463.0,489.0,600.0,0.444
2014-10-01,Arm Lake,Lake,52.74685,-110.588624,North Saskatchewan,NRPK,Northern Pike,Male,510.0,541.0,731.0,0.484
2014-10-01,Arm Lake,Lake,52.74685,-110.588624,North Saskatchewan,NRPK,Northern Pike,Male,505.0,536.0,685.0,0.687
2014-10-01,Arm Lake,Lake,52.74685,-110.588624,North Saskatchewan,NRPK,Northern Pike,Female,530.0,562.0,865.0,0.57
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Male,626.0,662.0,1480.0,0.451
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,801.0,838.0,3682.0,0.506
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,755.0,798.0,3034.0,0.637
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,523.0,554.0,920.0,0.185
2011-09-20,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,746.0,783.0,2694.0,0.499
2011-09-20,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,589.0,635.0,1424.0,0.314
2011-09-20,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,560.0,597.0,1106.0,0.276
2011-09-21,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,779.0,807.0,2182.0,0.72
2011-09-21,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,545.0,578.0,1144.0,0.144
2011-09-21,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,549.0,579.0,1178.0,0.219
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,563.0,598.0,1100.0,0.367
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,523.0,558.0,800.0,0.379
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Male,545.0,581.0,1100.0,0.338
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Unknown,510.0,546.0,900.0,0.286
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,NRPK,Northern Pike,Female,861.0,876.0,4550.0,0.64
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Female,381.0,409.0,578.0,0.192
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Female,406.0,429.0,668.0,0.171
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,328.0,350.0,378.0,0.108
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,397.0,422.0,706.0,0.182
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,388.0,412.0,666.0,0.172
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,419.0,438.0,784.0,0.216
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,363.0,387.0,514.0,0.179
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Female,532.0,561.0,1512.0,0.535
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,433.0,462.0,918.0,0.356
2011-09-19,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Female,407.0,432.0,764.0,0.19
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Unknown,430.0,456.0,900.0,0.345
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,408.0,431.0,800.0,0.332
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,432.0,456.0,850.0,0.338
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,449.0,475.0,1000.0,0.374
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,446.0,472.0,900.0,0.373
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,416.0,440.0,750.0,0.348
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Unknown,488.0,515.0,1275.0,0.545
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Female,547.0,575.0,1100.0,0.824
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Female,400.0,427.0,750.0,0.375
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,462.0,495.0,1150.0,0.46
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,452.0,479.0,1050.0,0.472
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,446.0,475.0,1050.0,0.524
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Female,424.0,450.0,850.0,0.246
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,422.0,470.0,950.0,0.323
2012-09-24,Baptiste Lake,Lake,54.755366,-113.554014,Upper Athabasca,WALL,Walleye,Male,453.0,478.0,1000.0,0.275
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,LKWH,Lake Whitefish,Male,501.0,559.0,2430.0,0.078
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,LKWH,Lake Whitefish,Female,482.0,546.0,1976.0,0.079
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,LKWH,Lake Whitefish,Male,522.0,572.0,2756.0,0.052
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,LKWH,Lake Whitefish,Male,513.0,577.0,2782.0,0.099
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,LKWH,Lake Whitefish,Female,531.0,593.0,2738.0,0.122
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,LKWH,Lake Whitefish,Female,547.0,611.0,3462.0,0.134
2018-09-26,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,LKWH,Lake Whitefish,Male,550.0,600.0,2792.0,0.098
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,567.0,602.0,1160.0,0.437
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,568.0,601.0,1102.0,0.469
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,534.0,568.0,1038.0,0.299
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,552.0,589.0,1292.0,0.465
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,538.0,570.0,908.0,0.326
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Male,504.0,540.0,916.0,0.395
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,527.0,563.0,902.0,0.357
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,576.0,613.0,1262.0,0.47
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Male,514.0,547.0,940.0,0.287
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,497.0,529.0,906.0,0.257
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,580.0,610.0,1400.0,0.331
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,518.0,547.0,1026.0,0.337
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,578.0,613.0,1472.0,0.359
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,559.0,595.0,1176.0,0.34
2018-09-25,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,NRPK,Northern Pike,Female,530.0,567.0,1006.0,0.333
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Male,587.0,613.0,2506.0,0.795
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Female,543.0,571.0,1964.0,0.464
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Male,525.0,554.0,1680.0,0.806
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Male,501.0,531.0,1612.0,0.497
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Male,493.0,517.0,1466.0,0.481
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Female,582.0,610.0,2068.0,0.918
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Female,537.0,565.0,2058.0,0.936
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Male,531.0,554.0,1524.0,0.974
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Female,522.0,554.0,1794.0,0.529
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Female,525.0,558.0,1836.0,0.543
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Female,595.0,625.0,2396.0,0.97
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Female,556.0,589.0,1978.0,1.036
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Male,539.0,563.0,1974.0,0.787
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Male,512.0,536.0,1638.0,0.53
2018-09-24,Battle Lake,Lake,52.967291,-114.183896,North Saskatchewan,WALL,Walleye,Male,561.0,589.0,2138.0,0.759
2017-08-15,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Female,645.0,690.0,2000.0,0.367
2017-08-15,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Female,715.0,763.0,2300.0,0.465
2017-08-15,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Female,681.0,734.0,2400.0,0.427
2017-08-15,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Female,700.0,751.0,2600.0,0.788
2017-08-15,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Male,610.0,658.0,1700.0,0.38
2017-08-15,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Male,592.0,634.0,1600.0,0.265
2017-08-15,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Female,715.0,754.0,2500.0,0.467
2017-08-15,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Male,594.0,641.0,1700.0,0.027
2017-08-15,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Male,613.0,654.0,1600.0,0.504
2017-08-15,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Male,700.0,731.0,2250.0,0.547
2017-08-15,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Female,629.0,669.0,1750.0,0.213
2017-08-16,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Female,711.0,751.0,2350.0,0.479
2017-08-16,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Female,685.0,704.0,1950.0,0.307
2017-08-16,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Male,590.0,632.0,1500.0,0.476
2017-08-16,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Female,606.0,648.0,1500.0,0.19
2017-08-16,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Female,667.0,713.0,2250.0,0.241
2017-08-16,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Male,642.0,682.0,2100.0,0.486
2017-08-16,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Male,606.0,645.0,1550.0,0.257
2017-08-16,Beartrap Lake,Lake,54.204026,-110.538501,Lower Athabasca,NRPK,Northern Pike,Female,630.0,674.0,1950.0,0.202
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Female,404.0,458.0,930.0,0.072
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Male,503.0,558.0,1887.0,0.147
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Female,533.0,607.0,2289.0,0.144
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Male,498.0,550.0,2691.0,0.072
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Male,422.0,481.0,1078.0,0.098
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Male,523.0,580.0,1831.0,0.128
2011-10-07,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Male,420.0,474.0,900.0,0.08
2011-10-07,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Female,394.0,445.0,726.0,0.062
2011-10-07,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Male,437.0,493.0,1150.0,0.099
2011-10-07,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Male,420.0,474.0,900.0,0.113
2016-09-28,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Female,462.0,522.0,1423.0,0.058
2016-09-28,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Female,459.0,524.0,1255.0,0.17
2016-09-28,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Female,436.0,494.0,1286.0,0.093
2016-09-28,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Female,465.0,526.0,1616.0,0.126
2016-09-29,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,LKWH,Lake Whitefish,Male,421.0,469.0,891.0,0.103
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,NRPK,Northern Pike,Female,530.0,566.0,917.0,0.404
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,NRPK,Northern Pike,Female,675.0,710.0,2166.0,0.567
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,NRPK,Northern Pike,Male,562.0,587.0,1294.0,0.338
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,NRPK,Northern Pike,Female,630.0,660.0,1874.0,0.349
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,NRPK,Northern Pike,Female,590.0,628.0,1476.0,0.214
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,NRPK,Northern Pike,Female,540.0,571.0,1127.0,0.315
2011-10-06,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,NRPK,Northern Pike,Female,970.0,1016.0,7825.0,1.106
2011-10-07,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,NRPK,Northern Pike,Female,597.0,640.0,1574.0,0.301
2011-10-07,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,NRPK,Northern Pike,Female,679.0,722.0,2300.0,0.458
2011-10-07,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,NRPK,Northern Pike,Female,562.0,599.0,1523.0,0.513
2011-10-07,Beaver Lake,Lake,54.711164,-111.828571,Lower Athabasca,NRPK,Northern Pike,Female,664.0,709.0,2436.0,0.421
